ft_facility_code,UTM_lat,UTM_long,latitude,longitude
1001-0013,0548237,8571603,-12.87330244866047,33.44459188551662
1001-0014,0560808,8575506,-12.838134802456995,33.560375070979454
1001-0015,0542542,8511476,-13.415063750382348,33.392964213782655
1001-0016,0537065,8500485,-13.514094105153298,33.342514176516374
1001-0017,0534197,8525052,-13.292741481225073,33.315722610404094
1001-0018,0542530,8517400,-13.36168751422066,33.392766824922035
1001-0019,0536666,8530437,-13.244221419610025,33.338450133485026
1001-0020,0519634,8529137,-13.255934720681916,33.181243576134655
1001-0021,0532471,8547235,-13.092866865064822,33.29954404138246
1001-0022,0554538,8532205,-13.228291327042154,33.5033834136938
1001-0023,0558246,8530588,-13.24286089098176,33.537639015098705
1001-0024,0592304,8563779,-12.943799882191316,33.85096400274569
1001-0025,0594414,8576528,-12.828926257431272,33.870018281035435
1001-0026,0601414,8574051,-12.851245125132873,33.934599387659794
1001-0027,0585475,8582503,-12.775088819517071,33.78748472961912
1001-0028,0578968,8582167,-12.7781163074447,33.72754766842641
1001-0029,0573596,8574841,-12.844126761472866,33.67823342240477
1001-0030,0576152,8568328,-12.902811566385484,33.701950581583674
1001-0031,0572712,8559433,-12.982958864821992,33.67045717570028
1001-0032,0573898,8559582,-12.981616324518976,33.681388755125774
1001-0033,0574228,8551167,-13.057438353308221,33.68463953410714
1001-0034,0579309,8547532,-13.090190870578635,33.73159785128924
1001-0035,0557459,8627369,-12.370821584637016,33.5285547315828
1001-0036,0552007,8559183,-12.985211418737773,33.4795520828981
1001-0037,0574441,8564059,-12.941276904237661,33.68628482427416
1001-0038,0584194,8571371,-12.875392940419172,33.77599079064557
1001-0039,0552007,8559183,-12.985211418737773,33.4795520828981
1002-0000,0637812,8514302,-13.389601673397813,34.272747332324954
1002-0001,0364560,8519914,-13.339036499552803,31.749415777258704
1002-0002,0637888,8522066,-13.319646600663678,34.27308250512669
1002-0003,0621092,8528940,-13.257710116340665,34.11774835762931
1002-0004,0365538,8542725,-13.133503880721486,31.759484810822567
1002-0005,0642020,8538889,-13.168067459220236,34.31041447336615
1002-0006,0642457,8553307,-13.038156912357076,34.313757026056074
1002-0007,0635689,8555168,-13.021388547435906,34.25126821717328
1002-0008,0640494,8570877,-12.879844663557664,34.29483923628741
1002-0009,0631214,8585349,-12.749445460743813,34.20870385001113
1002-0010,0627006,8592456,-12.685407908821718,34.16965369634538
1002-0011,0632089,8589718,-12.710078705812032,34.21657522676493
1002-0012,0626490,8604854,-12.573695460808159,34.164396894001015
1002-0013,0607812,8647669,-12.18790504099457,33.991021051595375
1002-0014,0612383,8639320,-12.263135422599106,34.033325547236096
1002-0015,0615757,8633127,-12.318938547904656,34.06456907280383
1002-0016,0614031,8625262,-12.389807247194375,34.04897991407773
1002-0017,0620369,8620397,-12.433643974623106,34.10746144896912
1002-0018,0625409,8618319,-12.452368073324877,34.15390842420593
1002-0019,0584686,8638391,-12.2715061709548,33.778704292300624
1002-0020,0638594,8571173,-12.877177547478702,34.27731778738558
1002-0021,0621517,8615854,-12.474579143352454,34.11819753621147
1002-0022,0638594,8571173,-12.877177547478702,34.27731778738558
1003-0000,0598570,8522798,-13.313050657337163,33.910084223800816
1003-0001,0598570,8522798,-13.313050657337163,33.910084223800816
1003-0002,0606392,8524282,-13.299679569569358,33.98224267198505
1003-0003,0590888,8546583,-13.098741702059506,33.83843145424174
1003-0004,0594034,8534108,-13.211144946959022,33.867845879805024
1003-0005,0611145,8508837,-13.438841803728405,34.0267075434445
1003-0006,0605505,8515029,-13.38305085673333,33.97438845223465
1003-0007,0615831,8521954,-13.320655420387713,34.069468069958305
1003-0008,0608966,8535618,-13.197539571659224,34.005584665079205
1003-0009,0614411,8535564,-13.198026179091054,34.05582965785843
1003-0010,0590207,8515268,-13.380897322641983,33.83310824894631
1003-0011,0586513,8532717,-13.223678164721147,33.79847980164256
1003-0012,0582523,8539477,-13.162768785176201,33.76146751560769
1003-0013,0584021,8522516,-13.315591455492934,33.77577269935221
1004-0000,0653639,8478438,-13.71273991468906,34.42080283177096
1004-0001,0653639,8478438,-13.71273991468906,34.42080283177096
1004-0002,0637437,8488529,-13.621819291364764,34.270512627381905
1004-0003,0649522,8478384,-13.71322635000251,34.38274097772495
